,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
1280,None,Bucket Hat,Streetsuit,Pout,Pink,Darker,Messy,Red,None,None,None,None,None,None,None,Crows,None,None,None,None,None,None,32.257778156500365,1281
1281,None,None,Mono Demon Maiden,Mask,Hazel,Dark,Hime Cut,Dark,None,White Browline Sunglasses,Machete,None,Demon Horn,None,None,None,None,None,None,None,None,None,43.935513213242444,1282
1282,None,None,Side Shirt,Mumble,Closed,Dark,Bob,Light Purple,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,17.678735223455337,1283
1283,Default Open R,None,Skelly Jacket,Pout,Blue,Default,Bun,Blue,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,27.253962030284928,1284
1284,Default Hand Face,None,Blue Racer,Hmm,Pink,Default,Bangs Short,Blue,None,None,AK,None,Smoke,Fangs,None,None,None,None,None,None,None,None,54.06861589997624,1285
1285,None,Bandana,WAGMI Bomber,Mumble,Pink,Darker,Bob,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.04462693503247,1286
1286,Default Hold,Newsboy Hat,Blue Yukata Varsity,Big Smile,Closed,Default,Messy,Light Purple,None,None,Katana,None,None,None,None,None,Big Headphone,None,None,Handgun,None,None,67.6160772437089,1287
1287,Default Hand ETH,None,Brown Formal Dress,Mask,Pink,Default,Braided Bun,White,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,23.76497666647307,1288
1288,None,None,Pink Ribbonstar,Bland,Void,Pale,Academy,Dark,None,None,AK,None,None,None,None,None,None,None,None,None,None,None,18.4280723274104,1289
1289,Default Open L,None,Red Rebel,Big Smile,Green,Default,Long Fringe,Blue,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,25.84118717595339,1290
1290,None,None,Heart Halter,Censored,Green,Dark,Bangs Short,Red,None,None,None,None,None,None,Dot,None,Chain Necklace,None,None,None,None,None,34.85530451202465,1291
1291,Dark Open L,None,Navy Ether,Grin,Red,Dark,Short Ponytail,Off White,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,Quiver,None,None,None,None,None,None,43.44430993981362,1292
1292,Default Hand Face,Dark Spacehelm,Black Haus Hoodie,Biting Lips,Eye Cover,Default,Bowl Cut,Off White,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,43.347172956709166,1293
1293,Default Open L,None,White Haus T-Shirt,Mask,Green,Default,Hime Cut,Navy,None,None,None,phase.module [the generation] v0.02,None,None,Ring,None,None,None,None,None,None,None,43.715381892235015,1294
1294,Default Hold,None,Streetsuit,Big Smile,Black,Default,Slick Back,Navy,None,None,None,None,None,None,Silver,None,Big Headphone,None,None,Broken Arrow,None,None,59.51338826648128,1295
1295,None,None,Light Bomber,Grunt,Blue,Fiend,Two Block,Navy,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,17.392363830079795,1296
1296,None,None,White Ether,Smile,Silver,Pale,Twin Bun,Green Gray,None,Scar 2,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,35.92407006758495,1297
1297,Default Hand ETH,None,Nu Sailor,Grunt,Eye Cover,Default,Short Ponytail,Off White,None,None,None,None,None,None,Cross,None,None,None,None,None,None,None,29.00735240011048,1298
1298,None,None,Night Witch,Hmm,Green,Dark,Long Side Swept,Purple,None,Stickers,None,None,None,None,None,None,None,None,None,None,None,None,17.091497742969523,1299
1299,None,None,Light Open Vest,Mask,Silver,Pale,Shag,Purple,None,White Browline Sunglasses,None,None,None,None,None,None,Headphone,None,None,None,None,None,36.1257069848883,1300
1300,None,None,Red Halter,Hmm,Pink,Dark,Bob,Blue,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,16.432771616942514,1301
1301,None,None,Dark Asian Top,Meh,Black,Fiend,Long Twintail,Navy,None,None,Machete,None,None,None,None,None,None,None,None,None,None,None,17.444491936919107,1302
1302,Default Open L,Spacehelm,Brown Formal Dress,Grunt,Void,Default,Bun,Light Purple,None,None,Red Excalibur,phase.module [a globe is rolling] v0.03,None,None,None,None,Headphone,None,None,None,None,None,68.79214818496435,1303
1303,None,None,Dark Formal Shirt,Bland,Hazel,Darker,Long Fringe,Light Purple,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,15.313879037353267,1304
1304,Dark Open L,White Bucket Hat,Mono Demon Maiden,Hmm,Eye Cover,Dark,Bangs Short,Red,None,None,None,phase.module [created to be loved] v0.01,None,None,None,None,None,None,None,None,None,None,43.36100202534872,1305
1305,Demon Hand Palm,None,Chain Yellow Shirt,Big Smile,Closed,Demon,Two Block,Off White,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,31.615311950585852,1306
1306,None,None,Edge Jacket,Smile,Silver,Darker,Buzz Cut,Light Purple,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,19.366223930373486,1307
1307,Default Hand Palm,None,Chain Shirt,Open,Black,Default,Long Fringe,Red,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.763937969388852,1308
1308,None,None,Leather Coat,Grin,Blue,Dark,Clean,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5217437656527912,1309
1309,Pale Hand ETH,Light HAUS Cap,Green Ribbonstar,Open,Green,Pale,Bob,Dark,Stargazer,None,None,None,None,None,None,None,None,None,None,None,None,None,45.086423058805806,1310
1310,None,None,White Haus T-Shirt,Face Mask,Black,Pale,Long Locks,Blue,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,15.739714533559185,1311
1311,None,None,Green Yakuza Yukata,Smile,Blue,Dark,Buzz Cut,Dark,White Petals,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,33.23929488566378,1312
1312,None,None,Dark Ether,Bubblegum,Blue,Dark,Long Flowy Locks,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.3455287337857103,1313
1313,None,None,Blue Varsity Jacket,Mask,Blue,Demon,Braided Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.25905019102386,1314
1314,None,None,Admiral,Hmm,Black,Dark,Side Fringe,Purple,None,None,None,None,Bow,None,None,None,Headphone,None,None,None,None,None,33.92738317629658,1315
1315,None,None,Winter Camo,Mumble,Pink,Dark,Buzz Cut,Light Purple,None,None,None,None,None,None,None,Dove,None,None,None,None,None,None,17.765692309365903,1316
1316,None,None,Choker Corset,Grin,Black,Dark,Hime Cut,White,None,None,Red Saber,None,None,None,None,None,None,None,None,None,None,None,13.940988746559224,1317
1317,None,None,White Leather Coat,Mask,Hazel,Pale,Spiky,White,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,17.677350917924695,1318
1318,Dark Hand ETH,None,Rebel,Mumble,Red,Dark,Short Spiky,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.445990722685822,1319
1319,None,None,Trainer,Bland,Closed,Fiend,Hime Cut,Navy,None,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,16.91795065598684,1320
1320,None,None,Pink Ribbonstar,Open,Hazel,Demon,Long Twintail,Blue,None,None,Shotgun,None,None,None,None,Dagger Rune,None,None,None,None,None,None,30.176237299665416,1321
1321,None,None,White Streetsuit,Open,Green,Dark,Long Fringe,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3531703483918536,1322
1322,None,None,Light Open Jacket,Mask,Hazel,Dark,Messy,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.412256701521267,1323
1323,Demon Hand Palm,None,Woodland Camo,Hmm,Void,Demon,Long Fringe,Off White,None,None,None,None,None,None,None,Dark Oni Head,None,None,Knife,None,None,None,48.37177673612235,1324
1324,Darker Open L,Navy Beanie,Formal Shirt,Grunt,Cotton Candy,Darker,Side Fringe,Off White,None,None,None,Flame,None,None,None,None,None,None,None,None,None,None,45.40430935971957,1325
1325,None,None,Raider,Mask,Closed,Dark,Academy,White,None,None,Red Tech Sword,None,None,None,None,None,None,None,None,None,None,None,13.423130676763028,1326
1326,Fiend Hand ETH,None,Shadow Gaiden,Open,Red,Fiend,Academy,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.8245602817208,1327
1327,None,None,Green Ribbonstar,Meh,Silver,Dark,Bangs Short,Blue,None,Boston Glasses,None,None,None,None,None,None,None,None,None,None,None,None,15.179908885648945,1328
1328,None,None,Formal Dress,Hmm,Silver,Dark,Academy,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.6173593788774365,1329
1329,Default Hand ETH,None,Formal Shirt,Pout,Black,Default,Buzz Cut,Blue,Stargazer,Oval Sunglasses,None,None,None,None,None,Angel Wings,None,None,None,None,None,None,55.406536508203274,1330
1330,Default Open L,None,White Asian Top,Face Mask,Red,Default,Long Twintail,Blue,White Petals,None,Ninjato,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,52.74817416024475,1331
1331,Default Open R,None,Black Haus Hoodie,Censored,Green,Default,Slick Back,Green Gray,None,None,None,None,None,None,None,None,None,ETH,None,None,None,None,30.079423732410987,1332
1332,None,None,Yakuza Yukata,Biting Lips,Closed,Dark,Two Block,Purple,None,None,Bat,None,None,None,None,Dark Oni Head,None,None,None,None,None,None,29.2499972763249,1333
1333,Demon Hold,None,White Sidebelt,Bland,Blue,Demon,Straight Headband,Off White,Icy Wind,None,None,None,None,None,None,None,None,None,None,Broken Arrow,None,None,46.889770956535436,1334
1334,Default Open R,None,Dark Jeans Hoodie,Pout,Red,Default,Messy,Blue,None,None,None,None,None,None,None,None,None,Bitten Apple,None,None,None,None,27.42249528110984,1335
1335,None,None,Red Trainer,Hmm,Hazel,Darker,Straight Headband,Blue,None,None,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,17.836964470689896,1336
1336,Default Hold,None,Dark Formal Dress,Big Smile,Hazel,Default,Bun,Light Purple,None,None,Red Sheathed Katana,None,Smoke,None,None,None,None,None,None,Revolver,None,None,54.989446849352944,1337
1337,None,None,Crimson Blazer,A,Pink,Dark,Long Locks,White,None,None,Dark Machete,None,None,None,None,Wind,None,None,None,None,None,None,29.27605924201125,1338
1338,Default Hand Face,Hat,Blazer,Meh,Silver,Default,Short Ponytail,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.537426248800323,1339
1339,None,Badges Cap,Shadow Gaiden,Grunt,Jesse & James,Dark,Bob,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.444287088330405,1340
1340,None,None,Red Sidebelt,Meh,Red,Dark,Braided Bun,Red,None,None,None,None,None,None,None,Swords,None,None,None,None,None,None,17.68749719938531,1341
1341,Default Hand ETH,None,Crimson Blazer,Mask,Blue,Default,Twin Bun,White,Feathers,None,AK,None,None,None,None,None,None,None,None,None,None,None,38.94101414463011,1342
1342,None,None,Blue Varsity Jacket,Bland,Blue,Dark,Bun,White,None,Oval Sunglasses,None,None,None,None,None,Red Swords,None,None,None,None,None,None,31.70163789309158,1343
1343,None,None,Red Halter,A,Red,Dark,Straight Headband,Red,None,Red Clear Sunglasses,Shotgun,None,None,None,None,None,None,None,None,None,None,None,28.44722740504603,1344
1344,None,Agent Hat,Orange Open Jacket,Mumble,Closed,Dark,Braided Bun,Blue,None,None,None,None,None,None,None,Evil Wings,None,None,None,None,None,None,28.59305888809136,1345
1345,Default Open L,None,Green Haus T-Shirt,Open,Green,Default,Long Side Swept,Navy,None,None,Dark Sheathed Katana,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,38.99297289159196,1346
1346,None,None,Jeans Hoodie,Mumble,Black,Dark,Messy,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8012036895661708,1347
1347,Default Open L,None,Shadow Gaiden,Face Mask,Hazel,Default,Hime Ponytail,Navy,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,27.6605127798772,1348
1348,Default Hand Palm,None,Red Drive,Hmm,Green,Default,Shag,White,None,None,None,None,Dark Side Mask,None,None,None,None,None,Knife,None,None,None,44.57715744581141,1349
1349,None,None,Mono Side Shirt,Grunt,Blue,Pale,Bob,White,None,None,None,None,Smoke,None,None,None,None,None,None,None,None,None,21.52970332945159,1350
1350,None,None,Red Trainer,Biting Lips,Eye Cover,Darker,Spiky,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.8168756028627975,1351
1351,Default Hand ETH,Ushanka,Black Haus Hoodie,Meh,Hazel,Default,Twin Bun,White,None,Boston Glasses,None,None,None,None,None,None,None,None,None,None,None,None,39.52135701118002,1352
1352,Default Open L,None,Male Yukata,Meh,Lavender Sunrise,Default,Short Fringe,Navy,None,None,Blue Saber,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,40.93207079419442,1353
1353,None,None,White Haus T-Shirt,Hmm,Void,Dark,Long Side Swept,Off White,None,None,M4X,None,None,None,None,None,Big Headphone,None,None,None,None,None,30.607042317329704,1354
1354,Default Hold,None,Crimson Blazer,Meh,Red,Default,Bangs Short,Green Gray,None,None,None,None,None,None,Cross,None,None,None,None,Broken Arrow,None,None,43.883947836657214,1355
1355,Default Hold,None,Side Shirt,A,Red,Default,Bob,Green Gray,Exalted Feathers,None,None,None,Oni Half Mask,None,None,None,None,None,None,Handgun,None,None,59.103386021315195,1356
1356,None,None,Sky Haus Hoodie,Pout,Pink,Dark,Side Fringe,Purple,Exalted Feathers,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,33.4913168692917,1357
1357,None,None,Red Asian Top,Mumble,Closed,Pale,Braided Bun,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.509341156930102,1358
1358,None,None,Mono Demon Maiden,Meh,Green,Darker,Long Flowy Locks,Purple,None,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,19.534739103487457,1359
1359,Dark Open R,None,Green Open Vest,Mumble,Red,Dark,Clean,White,None,Splatter,None,None,None,None,None,None,None,Smoke Grenade,None,None,None,None,44.06108503599724,1360
1360,None,None,Red Haus Hoodie,Big Smile,Black,Dark,Bun,Navy,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,13.744611192522086,1361
1361,None,None,Bomber,A,Blue,Dark,Messy,Green Gray,None,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,18.127111991851848,1362
1362,Default Open R,None,Turtleneck Blazer,Smile,Eye Cover,Default,Shag,Red,None,None,None,None,None,None,None,None,None,Bitten Apple,None,None,None,None,30.287897715343732,1363
1363,None,None,Red Drive,Grunt,Blue,Dark,Buzz Cut,Dark,None,Oval Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,16.64660148787699,1364
1364,Default Open L,None,Black Koi Tees,A,Red,Default,Bob,Red,None,None,Ninjato,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,39.19797001296712,1365
1365,None,Bucket Hat,Noble Half Yukata,Grunt,Hazel,Pale,Hime Cut,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.42528718610391,1366
1366,Default Hand Palm,None,Heart Halter,Mumble,Silver,Default,Twin Bun,Green Gray,None,None,None,None,Demon Horn,None,None,Quiver,None,None,Knife,None,None,None,59.6853552745931,1367
1367,None,None,Chain White Shirt,Smile,Blue,Fiend,Clean,Purple,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,21.788661662069035,1368
1368,Default Hold,None,Dark Streetsuit,Mask,Closed,Default,Clean,Blue,None,None,None,None,None,None,None,None,None,None,None,Card,None,None,25.886413895056627,1369
1369,None,Bucket Hat,Jeans Hoodie,Smile,Eye Cover,Fiend,Short Fringe,Blue,None,None,None,None,None,None,Ring,None,None,None,None,None,None,None,34.61574129462545,1370
1370,None,None,Green Haus T-Shirt,Big Smile,Black,Darker,Bun,Dark,None,Oval Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,17.969108276802658,1371
1371,None,Hat,Blazer,Bland,Silver,Dark,Bangs Short,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.66652108886672,1372
1372,None,None,Red Halter,Grunt,Silver,Fiend,Bangs Short,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.915981637267205,1373
1373,None,Beanie,Male Yukata,Big Smile,Pink,Dark,Buzz Cut,Purple,None,None,None,None,None,None,None,Crows,None,None,None,None,None,None,30.944074039633307,1374
1374,None,None,Side Shirt,Mask,Closed,Darker,Bob,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.495053913396659,1375
1375,Default Hand Face,None,Racer,Bubblegum,Silver,Default,Long Flowy Locks,White,None,None,Broken Katana,None,Bow,Silence,None,None,None,None,None,None,None,None,56.78937664857574,1376
1376,None,None,Red Haus Hoodie,Smile,Blue,Dark,Braided Bun,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3357962858230303,1377
1377,Default Hold,None,Mono Demon Maiden,Smile,Green,Default,Long Flowy Locks,Red,None,None,None,None,None,None,Dice,Dove,None,None,None,Soda,None,None,58.89145324158921,1378
1378,None,Light HAUS Cap,Navy Ether,Face Mask,Green,Dark,Hime Ponytail,Navy,None,None,Machete,None,None,None,ETH,None,None,None,None,None,None,None,43.12241185065208,1379
1379,Default Hand ETH,None,Red Haus Hoodie,Grin,Red,Default,Twin Bun,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.969273196012715,1380
1380,Default Hand Face,None,Leather Coat,Big Smile,Blue,Default,Buzz Cut,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.30127630767653,1381
