,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
2922,Groove,NFT (Instrumental),Dancing in the Shroomlight,Anger,Steel Rings,Gold Stud,Party Horn,Bandana,Headphones,,Bug Eye Glasses,Green,Black & White,Male,64.82065622893224,2922
2923,Side To Side,FLUF Ocean,ASTO Discovery Portal,Mouth Open (Right),,Gold Ring,Carrot,Pirate Hat,VIP lanyard,Sign My Carrot Singlet,,Brown,Red,Female,58.75480456030859,2923
2924,Side To Side,Run Rabbit,Mansion,Smile,Gold Rings,Gold Stud,Tongue Out,,Gold Chain,,Round Glasses,Brown,Hawk,Male,58.95373689352488,2924
2925,Round,Disco Rabbit,Markets,Mouth Open (Middle),Steel Studs,Steel Ring,Pacifier,Afro (Base),FLUF Logo Chain,Kimono,Fake Eyelashes,Portal,Orange,Female,99.23719347315644,2925
2926,Subtle Nod,Floating or Flying,Heaven,Smile,Gold Rings,Gold Ring,Lip Piercings,Sombrero,Bowtie (Gold),Boob Tube,,Green (Dilated),Sky,Female,77.55191401054084,2926
2927,Groove,Beyond the Gates,Fluf Haus LA 2022,Mouth Open (Right),Gold Studs,Steel Ring,Carrot,,Collar (Black),Dress,Sunglasses,Blue,Camo,Male,60.397893508349924,2927
2928,Side To Side,Floating or Flying,Backalley,Smile,FLUF Tag,,,Birthday Hat,Glowstick Necklace,,,Green,Sky,Male,23.466671242753577,2928
2929,Side To Side,Follow You,Lambo,Mouth Open (Right) + Wink,Bit Ear,,Cigarette,Cowboy Hat,,Boob Tube,,Heart (Blue),Black & White,Female,54.498346714681,2929
2930,Side To Side,Lucky Foot,Pre-Game,Mouth Open (Middle),,Diamond Stud,Pacifier,Mullet (Black),,Yellow Rabbit Singlet,,Purple,Kanagawa,Male,46.173106015121284,2930
2931,Bob,Run Rabbit,Heaven,Blank,,,Medical Mask,Army Helmet,Collar (Black),Digital Camo Singlet,Cyberpunk Glasses,Fire,Darkness,Male,57.50103843072083,2931
2932,Round,Eating Carrots in the Dark,Garden,Mouth Open (Left),Gold Rings & Studs,Bone,Lollipop,,Collar (Pink),Puffer Vest,,Purple,Sky,Female,67.72515637047874,2932
2933,Big Nod,Lucky Foot,Mystic Valley,Mouth Open (Left),Santa Hat,,Party Horn,Propeller Hat,Glowstick Necklace,Yellow Rabbit Singlet,,Reptile (White),Grinch,Male,61.23827430439952,2933
2934,Side To Side,FLUF You Up,Tiki,Mouth Open (Right),Red Ribbon,,Carrot,,,Pink Jacket,Aviators,Green,Black & White,Male,37.29438694373026,2934
2935,Groove,Rabbiton,Tiki,Wonder,Steel Studs,,Lip Piercings,Cowboy Hat,,Pink Jacket,,Brown,Peppermint,Female,51.8813784819859,2935
2936,Side To Side,Desert Digging,Dunes,Mouth Open (Right),Steel Studs,Bull Ring,Joint,Tuft (Base),Bowtie (Red),Flannel Jacket,Eye Patch,Green (Dilated),Winter,Male,68.24878073765694,2936
2937,Groove,Floating or Flying,Beach,Blank,,,,Cowboy Hat,,Puffer Vest,,Green,Tie Dye,Male,8.334755335823356,2937
2938,Big Nod,Messiah,Mansion,Mouth Open (Right) + Wink,,Steel Ring,Cigarette,Sombrero,,Sign My Carrot Singlet,Aviators,Green,Tie Dye,Male,56.27163630848982,2938
2939,Side Nod,Floating or Flying,Heaven,Blank,Bit Ear,Diamond Stud,,,,Flannel Jacket,,Cat (Blue),Peppermint,Male,26.809946078610945,2939
2940,Side Nod,Higher,Star Explorer,Mouth Open (Middle),,Clown Nose,Pacifier,,,Puffer Vest,,Blue,Raspberry Ripple,Male,31.71190786614342,2940
2941,Side Nod,Space Fluffle,Gallery,Mouth Open (Right),,Bull Ring,Carrot,,FLUF Logo Chain,,Star Glasses,Brown,Raspberry Ripple,Male,36.42609192933673,2941
2942,Subtle Nod,Beyond the Gates,Spaceship,Mouth Open (Right),,Clown Nose,Pipe,,Bowtie (Black),Leather Vest,Eye Patch,Heart (Blue),Winter,Male,52.97268089410192,2942
2943,Side To Side,Rabbiton,Mansion,Anger,Gold Bows,Bone,Lollipop,,Headphones,Kimono,,Mandala,Black & White,Female,67.2951438545996,2943
2944,Groove,Beyond the Gates,Gallery,Mouth Open (Left) + Wink,FLUF Tag,,Party Horn,Mohawk (Base),,Gold Jacket,,Dollars,Sandy,Male,40.995578270189306,2944
2945,Side To Side,Follow You,Backalley,Blank,Steel Rings,,,,Collar (Pink),Dress,Neon Glasses,Green,Red,Male,40.33353192396203,2945
2946,Side Nod,Space Fluffle,Pass,Anger,Gold Studs,,Lollipop,,Lei,,Round Glasses,Blue,Bully,Male,46.84228524165561,2946
2947,Side Nod,NFT (Instrumental),Mansion,Blank,Diamond Studs,Clown Nose,,,VIP lanyard,,Sunglasses,Brown,Cheetah,Female,60.03608275029016,2947
2948,Big Nod,Run Rabbit,Markets,Mouth Open (Right),FLUF Tag,Steel Ring,Cigar,Mullet (Base),Peace Necklace,,Designer Glasses,Red,Grey,Male,60.75911222557857,2948
2949,Big Nod,Run Rabbit,Dunes,Blank,Steel Rings,,,Birthday Hat,Bone Necklace,Kimono,Designer Glasses,Fire,Raspberry Ripple,Male,56.90839626005396,2949
2950,Side Nod,Coffee and Carrots,Pass,Smile,,Bone,Lip Piercings,Tuft (Base),Bowtie (Black),,Bug Eye Glasses,Brown,Retro,Male,56.348851853586865,2950
2951,Side To Side,I Love FLUF,Thank You For Having Us,Mouth Open (Middle),,,Whistle,Sun Visor,,,Round Glasses,Blue,Retro,Female,51.65803304296166,2951
2952,Side Nod,Wouldn't It Be,Lambo,Mouth Open (Left),Gold Rings & Studs,Bone,Lollipop,,Tie,Holographic Jacket,,Thirties,Winter,Female,71.28767777946507,2952
2953,Subtle Nod,Eating Carrots in the Dark,Dunes,Mouth Open (Right),Steel Rings,Steel Ring,Carrot,,,Boob Tube,,Dollars,Grinch,Female,45.263524371937315,2953
2954,Subtle Nod,I Love FLUF,Thank You For Having Us,Smile + Wink,Bandaged,Bull Ring,,Cowboy Hat,VIP lanyard,,,Brown,Red,Male,36.99493140389166,2954
2955,Groove,How Could You,Garden,Blank,,Gold Stud,,Conical Hat,Bowtie (Gold),High Vis Vest,Cyberpunk Glasses,Thirties,Peppermint,Male,57.27767272312916,2955
2956,Groove,Coffee and Carrots,Spaceship,Mouth Open (Middle),Steel Rings & Studs,,Pacifier,Propeller Hat,,,,Red (Dilated),Ice Cream,Male,26.258355567917036,2956
2957,Groove,Ear Wobbler,Dunes,Mouth Open (Right) + Wink,,,Carrot,Afro (Ginger),Bowtie (Black),Puffer Vest,,Blue,Moody Blue,Female,52.46177031606909,2957
2958,Side Nod,Hop On By,Garden,Mouth Open (Right) + Wink,,,Pipe,Mohawk (Black),Bowtie (Red),Yellow Rabbit Singlet,,Dollars,Sandy,Male,41.11312152827716,2958
2959,Groove,Desert Digging,Mansion,Blank,Gold Rings,,,,,,Speed Glasses,Glowing Red,Brown,Male,19.465273985319474,2959
2960,Side Nod,Floating or Flying,Mystic Valley,Smile,Steel Rings,Diamond Stud,Tongue Out,,Bowtie (Gold),White Singlet,,Heart (Red),Brown,Male,54.15409445300588,2960
2961,Bob,FLUF You Up,Lambo,Mouth Open (Right),,Steel Stud,Joint,Halo,Tie,High Vis Vest,,Purple Rings,Grey,Male,40.195975589832166,2961
2962,Round,Electric Carrots,Gallery,Mouth Open (Right),Diamond Cross Earring,Bone,Pipe,Birthday Hat,,Flannel Jacket,Deal With It Glasses,Blue,Peppermint,Male,60.51143893020029,2962
2963,Round,Reggae Rabbits,Dancing in the Shroomlight,Mouth Open (Right),FLUF Tag,Clown Nose,Joint,Pirate Hat,,Digital Camo Singlet,,Xs,Sky,Female,59.704032155939224,2963
2964,Groove,L.O.V.E.,Dancing in the Shroomlight,Blank,Diamond Studs,Diamond Stud,Lipstick,Mohawk (Base),,,,Brown,Sandy,Female,47.564348519476866,2964
2965,Side To Side,Ear Wobbler,Mansion,Mouth Open (Right),Gold Rings,,Carrot,,Collar (Pink),Kimono,Safety Glasses,Brown,Cow,Male,50.388189172267076,2965
2966,Big Nod,I Like to Party,Swamp,Mouth Open (Left) + Wink,Gold Rings,,Party Horn,Bandana,,,,Cat (Brown),Sandy,Male,27.01311937080419,2966
2967,Side To Side,FLUF You Up,Dunes,Mouth Open (Right),,,Cigarette,Mohawk (Base),Glowstick Necklace,,Eye Patch,Yellow,Peppermint,Male,39.46939462507867,2967
2968,Bob,Ear Wobbler,ASTO Discovery Portal,Smile,Red Ribbon,Diamond Stud,,,,Leather Vest,,Purple Rings,Darkness,Female,49.329261405307854,2968
2969,Subtle Nod,Run Rabbit,After Party,Blank,,Gold Ring,Lipstick,,Peace Necklace,,Steampunk Goggles,Blue,Camo,Female,60.580253847605114,2969
2970,Subtle Nod,Back in the Burrow,Spaceship,Smile,Steel Rings & Studs,Bone,,Cowboy Hat,Bowtie (Red),Flannel Jacket,,Brown,Brown,Male,43.888413576686794,2970
2971,Side To Side,Dubhop,Backalley,Blank,Steel Rings & Studs,Gold Ring,,Afro (Ginger),,Tie Dye Singlet,Bug Eye Glasses,Blue,Marshmellow,Male,52.21393671240655,2971
2972,Big Nod,All I Need,Garden,Anger,,Steel Stud,Lollipop,,,Flannel Jacket,Sunglasses,Blue,Peppermint,Female,60.186567959232306,2972
2973,Side To Side,FLUF You Up,Dunes,Mouth Open (Right),Gold Bows,,Joint,Beanie,,,Speed Glasses,Glowing Red,Darkness,Male,38.75536677549511,2973
2974,Subtle Nod,Dubhop,Markets,Smile,Gold Rings,Bull Ring,,,Collar (Pink),Sign My Carrot Singlet,,Thirties,Black & White,Female,55.27731216336586,2974
2975,Side To Side,Ear Wobbler,Markets,Mouth Open (Left),,Gold Stud,Lollipop,Sombrero,Collar (Pink),Yellow Rabbit Singlet,,Yellow,Hawk,Female,67.06382873365357,2975
2976,Subtle Nod,Eating Carrots in the Dark,Backalley,Mouth Open (Right) + Wink,Diamond Cross Earring,Steel Stud,Cigar,Army Helmet,,,,Reptile (Yellow),Black & White,Male,36.43089532221234,2976
2977,Side To Side,FLUF You Up,Mystic Valley,Anger,Steel Rings,,Party Horn,Flower Crown,,Leather Vest,,Reptile (Cream),Grey,Male,36.41041919370719,2977
2978,Subtle Nod,Coffee and Carrots,FTW (F*ck The War),Blank,Steel Studs,Gold Stud,,Propeller Hat,Bowtie (Red),Dress,,Purple,Camo,Male,45.916978088113915,2978
2979,Subtle Nod,Ear Wobbler,Garden,Blank,Steel Rings,Gold Stud,,,Glowstick Necklace,,Shutter Glasses,Reptile (Cream),Winter,Female,57.38665017677435,2979
2980,Subtle Nod,Reggae Rabbits,FTW (F*ck The War),Blank,Gold Rings,,,,Collar (Black),Tie Dye Singlet,,Green (Dilated),Hawk,Male,26.862611792642117,2980
2981,Side To Side,Eating Carrots in the Dark,Backalley,Blank,Gold Rings & Studs,Bull Ring,,Flower Crown,Headphones,Digital Camo Singlet,,Purple Rings,Winter,Male,45.3814705850199,2981
2982,Groove,What the FLUF,Backalley,Grin,,,,,Collar (Black),,Designer Glasses,Purple,Camo,Female,44.07065744033643,2982
2983,Side Nod,Desert Digging,Beach,Blank,Gold Studs,Bull Ring,,,Bowtie (Black),Flannel Jacket,,Green (Dilated),Peppermint,Male,34.51121041961833,2983
2984,Groove,Let The Story Begin,Tiki,Mouth Open (Right),,Steel Ring,Cigarette,Conical Hat,,,Shutter Glasses,Cat (Brown),Ice Cream,Female,52.03124850959293,2984
2985,Bob,Stardust,The Wall,Blank,Gold Studs,,,,,Sign My Carrot Singlet,Aviators,Blue,Camo,Female,50.35511087022269,2985
2986,Side To Side,Back in the Burrow,Swamp,Blank,,,Medical Mask,,Bowtie (Red),Yellow Rabbit Singlet,,Heart (Blue),Cheetah,Male,26.619375416980823,2986
2987,Round,L.O.V.E.,Garden,Mouth Open (Left),Steel Studs,,Party Horn,,Dog Tags,,Fake Eyelashes,Brown,Sandy,Female,60.701962940717735,2987
2988,Side To Side,Rabbiton,Heaven,Mouth Open (Middle),,Steel Ring,Pacifier,,Tie,,,Scribble,Tiger,Female,44.066619425539585,2988
2989,Side Nod,Rabbiton,Beach,Blank,,Bull Ring,,Propeller Hat,Greenstone,Voxel Rabbit Singlet,Designer Glasses,Reptile (Yellow),Brown,Male,57.095040100777595,2989
2990,Round,Electric Carrots,Heaven,Smile,Gold Rings,Bull Ring,Lip Piercings,Tennis Hat,,,,Yellow,Grey,Female,48.343092398682536,2990
2991,Groove,FLUF You Up,Heaven,Anger,Steel Rings,,Lollipop,Conical Hat,,Leather Vest,Heart Glasses,Brown,Moody Blue,Male,51.844918339287425,2991
2992,Big Nod,Hop On By,Lambo,Sad,Steel Rings,,,Devil Horns,,,,Heart (Blue),Darkness,Male,15.769212781291591,2992
2993,Bob,Space Fluffle,Markets,Anger,,,Lollipop,,,Voxel Rabbit Singlet,,Mandala,Pheonix,Male,18.97873958504322,2993
2994,Big Nod,Hop With Me,Swamp,Mouth Open (Middle),,Bone,Pacifier,Birthday Hat,Bone Necklace,,,Green,Grey,Male,33.42815772328147,2994
2995,Side Nod,FLUF Ocean,FLUF Haus Miami 2021,Mouth Open (Left),,Gold Stud,Lollipop,,VIP lanyard,Kimono,,Blast,Pheonix,Male,47.06952866251524,2995
2996,Groove,Coffee and Carrots,Markets,Blank,FLUF Tag,Bone,,Sun Visor,,,,Green,Moody Blue,Male,15.931203258558918,2996
2997,Subtle Nod,L.O.V.E.,After Party,Smile,Diamond Studs,Bull Ring,,,Bowtie (Red),,Deal With It Glasses,Blue,Brown,Male,46.176924467687066,2997
2998,Subtle Nod,Eating Carrots in the Dark,Backalley,Mouth Open (Right),Steel Rings,,Joint,Halo,Dog Tags,Leather Vest,Designer Glasses,Yellow,Honeycomb,Male,61.907207650738926,2998
2999,Groove,FLUF You Up,Spaceship,Mouth Open (Right),Steel Rings,Diamond Stud,Pipe,Sombrero,,Black FLUF Singlet,,Blue,Smoothie,Female,52.78628013468478,2999
3000,Side To Side,Run Rabbit,Thank You For Having Us,Anger,Diamond Studs,,,Birthday Hat,Dog Tags,Pink Jacket,Neon Glasses,Green,Sky,Male,60.946049863387586,3000
3001,Big Nod,Run Rabbit,Mansion,Blank,Steel Rings,,,Beanie,Lei,,Dive Goggles,Dollars,Zebra,Male,43.51074294784422,3001
3002,Side Nod,Dubhop,Backalley,Mouth Open (Middle),Gold Bows,Bull Ring,Whistle,Tennis Hat,Clock Necklace,,,Green (Dilated),Camo,Male,50.1817436565147,3002
3003,Subtle Nod,Reggae Rabbits,Lambo,Mouth Open (Middle),,Bone,Whistle,Sombrero,,Leather Vest,,Heart (Red),Black & White,Male,37.53015320158274,3003
3004,Bob,Run Rabbit,Spaceship,Mouth Open (Right),Diamond Studs,Clown Nose,Cigarette,Propeller Hat,,,Aviators,Green,Brown,Male,44.66719437664803,3004
3005,Subtle Nod,Desert Digging,Gallery,Mouth Open (Right),,Clown Nose,Pipe,Tuft (Black),,Yellow Rabbit Singlet,Cyberpunk Glasses,Blue,Moody Blue,Male,50.16090272442021,3005
3006,Side Nod,Disco Rabbit,Mansion,Blank,Steel Rings,,Medical Mask,Pirate Hat,,Leather Vest,Star Glasses,Heart (Red),Cheetah,Male,55.561567722653095,3006
3007,Subtle Nod,Reggae Rabbits,Backalley,Blank,Gold Rings,Bone,,Conical Hat,,Sign My Carrot Singlet,Dive Goggles,Red,Orange,Male,54.79859725304157,3007
3008,Round,Reggae Rabbits,Swamp,Mouth Open (Left),Steel Rings,Gold Ring,Lollipop,,Dog Tags,White Singlet,,Reptile (Cream),Darkness,Male,50.047584937478206,3008
3009,Big Nod,Back in the Burrow,Dancing in the Shroomlight,Mouth Open (Right),FLUF Tag,Bull Ring,Pipe,Flower Crown,Bowtie (Red),,,Yellow,Sandy,Male,37.83040618593075,3009
3010,Side Nod,Desert Digging,Pass,Mouth Open (Right),,Gold Ring,Joint,Flower Crown,Bowtie (Black),,,Inverted (Purple),Darkness,Female,46.02225392958931,3010
3011,Groove,Electric Carrots,Pass,Smile,Bit Ear,Steel Stud,Lip Piercings,,Dog Tags,Digital Camo Singlet,,Brown,Marshmellow,Male,48.77792693111509,3011
3012,Bob,Beyond the Gates,Pass,Smile,Gold Rings,,,,Bowtie (Black),Yellow Rabbit Singlet,,Fire,Black & White,Male,29.707379436185,3012
3013,Round,FLUF Ocean,Dunes,Blank,Steel Rings & Studs,,,Bandana,Tie,,,Blast,Brown,Male,22.622175673513627,3013
3014,Subtle Nod,Hop On By,Garden,Mouth Open (Left) + Wink,,,Party Horn,Mullet (Black),Bowtie (Gold),Puffer Vest,,Green,Camo,Male,38.86942191605336,3014
3015,Round,All I Need,Swamp,Mouth Open (Right),,Gold Stud,Carrot,,Collar (Black),,Bug Eye Glasses,Blue,Grey,Female,51.828168172488674,3015
3016,Round,Coffee and Carrots,Spaceship,Mouth Open (Right),,Steel Stud,Carrot,FLUF Cap,,Leather Vest,,Heart (Red),Brown,Male,27.609149830629303,3016
3017,Bob,Space Fluffle,Beach,Mouth Open (Middle),,,Mooncrust Pizza,,Collar (Pink),Voxel Rabbit Singlet,,Heart (Blue),Brown,Male,31.151984047806152,3017
3018,Side Nod,Coffee and Carrots,Garden,Mouth Open (Right),Gold Bows,Bone,Carrot,Tuft (Base),,,Round Glasses,Brown,Brown,Male,45.320454124020536,3018
3019,Round,Follow You,Pass,Mouth Open (Right),Steel Rings & Studs,Clown Nose,Pipe,Beanie,,Kimono,,Brown,Black & White,Male,35.81370042305272,3019
3020,Bob,FLUF You Up,Lambo,Mouth Open (Middle),Diamond Studs,Steel Stud,Whistle,Halo,Bowtie (Black),White Singlet,Cyberpunk Glasses,Thirties,Darkness,Male,83.76801915952895,3020
3021,Big Nod,I Like to Party,Garden,Mouth Open (Right),Steel Rings,Bone,Carrot,FLUF Cap,,Kimono,,Fire,Orange,Male,40.55701087187338,3021
3022,Subtle Nod,FLUF You Up,Lambo,Mouth Open (Right),Steel Rings,Diamond Stud,Joint,Tuft (Black),Bowtie (Red),Pink Jacket,Bug Eye Glasses,Blue,Parrot,Male,69.12121400216267,3022
3023,Bob,Space Fluffle,Dunes,Blank,,Steel Ring,,Pirate Hat,Headphones,Dress,Fake Eyelashes,Reptile (Cream),Orange,Female,73.29544847504073,3023
3024,Big Nod,Dubhop,Mansion,Mouth Open (Right),Steel Studs,Bull Ring,Pipe,Cowboy Hat,Bowtie (Black),,,Blast,Black & White,Male,36.32905808413439,3024
3025,Side Nod,Run Rabbit,Heaven,Blank + Wink,,,,Beanie,,,,Purple,Red,Female,22.6954015359349,3025
3026,Groove,FLUF You Up,Gallery,Anger,Steel Rings & Studs,Gold Stud,Lollipop,Halo,,,,Reptile (White),Camo,Male,34.92134743210806,3026
3027,Subtle Nod,Back in the Burrow,Dunes,Mouth Open (Left) + Wink,Diamond Cross Earring,,Lollipop,Army Helmet,,Pink Jacket,,Red,Red,Female,58.45433164155319,3027
3028,Subtle Nod,L.O.V.E.,Thank You For Having Us,Mouth Open (Right),Steel Rings,Steel Ring,Carrot,Mullet (Base),Bowtie (Black),High Vis Vest,,Blue,Cheetah,Male,48.12450122751154,3028
3029,Subtle Nod,Electric Carrots,Backalley,Mouth Open (Middle),,Steel Stud,Whistle,Propeller Hat,,High Vis Vest,,Green (Dilated),Brown,Female,51.56878747047673,3029
3030,Bob,NFT (Instrumental),Mansion,Grin + Wink,Red Ribbon,,,,,Sign My Carrot Singlet,,Red,Hawk,Male,24.217576019461045,3030
3031,Side To Side,NFT (Instrumental),Backalley,Smile + Wink,,Gold Stud,,Beanie,Bowtie (Black),,Star Glasses,Purple,Kanagawa,Male,50.270973814667045,3031
3032,Bob,Eating Carrots in the Dark,Backalley,Blank,,,,Afro (Black),,Leather Vest,,Inverted,Darkness,Female,29.446819422708774,3032
3033,Bob,Let It Go,Beach,Anger,,,Lipstick,Beanie,,Pink Jacket,,Purple Rings,Sky,Female,47.73074229953606,3033
3034,Round,Follow You,The Front,Sad,FLUF Tag,Bull Ring,,Conical Hat,Headphones,,,Scribble,Bully,Male,41.08087389018085,3034
3035,Side Nod,Electric Carrots,Pass,Mouth Open (Right),Steel Studs,Bull Ring,Joint,,,Dress,,Cat (Brown),Black & White,Female,43.96900728435951,3035
3036,Side To Side,Hop On By,Dunes,Mouth Open (Left),Gold Rings & Studs,,Lollipop,Sombrero,,Kimono,,Green,Grey,Male,32.83147587905708,3036
3037,Groove,Back in the Burrow,Pass,Blank + Wink,Steel Studs,Steel Stud,,,Collar (Black),Dress,Safety Glasses,Green,Black & White,Female,72.15150182649356,3037
3038,Round,I Like to Party,Gallery,Blank + Wink,,,,Mohawk (Base),,Puffer Jacket,Dive Goggles,Xs,Sky,Male,42.45622614247465,3038
3039,Groove,I Like to Party,Spaceship,Mouth Open (Right),,Bone,Cigarette,Beanie,,High Vis Vest,Bug Eye Glasses,Green,Brown,Female,60.22703038500874,3039
3040,Bob,Eating Carrots in the Dark,Beach,Mouth Open (Left),Gold Studs,Bull Ring,Party Horn,Mullet (Black),,Pink Jacket,,Scribble,Pheonix,Male,50.81468676410379,3040
3041,Subtle Nod,Stardust,Star Explorer,Mouth Open (Left) + Wink,Gold Bows,Diamond Stud,Party Horn,Tuft (Blonde),Peace Necklace,,Cyberpunk Glasses,Red,Marshmellow,Male,78.9889757570332,3041
3042,Groove,Coffee and Carrots,Beach,Blank,Steel Studs,,,Birthday Hat,Bone Necklace,High Vis Vest,,Blue,Brown,Female,44.22442220161274,3042
3043,Bob,NFT (Instrumental),After Party,Anger,Steel Rings,Gold Stud,Party Horn,Beanie,,High Vis Vest,Dive Goggles,Cat (Blue),Winter,Male,69.66509697564919,3043
3044,Round,Let The Story Begin,ASTO Discovery Portal,Grin,Steel Rings & Studs,Bone,,Pirate Hat,Bowtie (Black),Tie Dye Singlet,,Heart (Red),Black & White,Male,53.88623439314833,3044
3045,Round,Disco Rabbit,Pass,Sad,,,,Bandana,Collar (Black),Leather Vest,Shutter Glasses,Blue,Sandy,Male,46.21731791681567,3045
3046,Side Nod,Hop On By,Dunes,Mouth Open (Right),Steel Rings,Bull Ring,Joint,Conical Hat,Bowtie (Gold),,Designer Glasses,Green (Dilated),Black & White,Female,70.90600406581622,3046
3047,Side Nod,Let The Story Begin,FTW (F*ck The War),Anger,Steel Studs,,,Army Helmet,Bone Necklace,Leather Vest,,Yellow,Orange,Male,42.73635889057182,3047
3048,Side Nod,Dubhop,Heaven,Mouth Open (Middle),Bit Ear,,Whistle,Pirate Hat,Tie,,,Heart (Red),Smoothie,Male,42.75247925055095,3048
3049,Groove,Ear Wobbler,Heaven,Mouth Open (Right),,,Carrot,Afro (Base),Tie,Puffer Vest,Star Glasses,Cat (Brown),Grey,Male,51.082007926341824,3049
3050,Round,Hop With Me,Gallery,Anger,,,Lollipop,Bandana,,Pink Jacket,Star Glasses,Red (Dilated),Orange,Male,47.88496602861338,3050
3051,Subtle Nod,Rabbiton,Dunes,Smile,Steel Studs,,,Gold Cap,,,,Xs,Smoothie,Female,32.16988609769765,3051
3052,Side To Side,What the FLUF,Heaven,Mouth Open (Left),Red Ribbon,,Lollipop,,,Kimono,,Green (Dilated),Parrot,Female,45.24719744572428,3052
3053,Subtle Nod,Beyond the Gates,Garden,Mouth Open (Right),Steel Rings & Studs,Steel Ring,Joint,,Bowtie (Gold),FLUF Jacket,,Brown,Raspberry Ripple,Male,36.536016941639225,3053
3054,Bob,Desert Digging,Tiki,Smile,Steel Rings,,,Pirate Hat,Collar (Pink),Boob Tube,Star Glasses,Green,Orange,Female,70.96683994969368,3054
3055,Groove,Electric Carrots,Mansion,Mouth Open (Right),Steel Studs,Steel Ring,Cigar,Pirate Hat,,,Heart Glasses,Brown,Black & White,Male,41.01542253103403,3055
3056,Groove,Eating Carrots in the Dark,Beach,Wonder,Bit Ear,,,Mullet (Black),Peace Necklace,,,Cat (Brown),Sandy,Female,46.49719583528258,3056
3057,Bob,What the FLUF,Swamp,Mouth Open (Middle),Gold Studs,,Pacifier,Bandana,VIP lanyard,,Bug Eye Glasses,Dead,Darkness,Male,60.852554450134186,3057
3058,Bob,Ear Wobbler,Beach,Mouth Open (Right),,Steel Stud,Joint,Beanie,,Holographic Jacket,,Red,Marshmellow,Male,28.84681547375085,3058
3059,Round,Ear Wobbler,Beach,Smile + Wink,Red Ribbon,Steel Ring,Lip Piercings,,Bone Necklace,,,Brown,Black & White,Female,50.647863270455204,3059
3060,Side Nod,NFT (Instrumental),ASTO Discovery Portal,Mouth Open (Right),,Bull Ring,Cigar,Mohawk (Base),Glowstick Necklace,Tie Dye Singlet,,Purple,Marshmellow,Male,47.6863238353007,3060
3061,Bob,Hop With Me,Markets,Mouth Open (Right),Steel Rings,Bull Ring,Cigarette,,,Boob Tube,Neon Glasses,Glowing White,Black & White,Male,47.7386884449986,3061
3062,Side Nod,Hop On By,FTW (F*ck The War),Mouth Open (Right) + Wink,Steel Rings & Studs,Steel Ring,Pipe,Sun Visor,Bowtie (Red),FLUF Jacket,,Thirties,Zebra,Male,61.87503669465531,3062
3063,Subtle Nod,Back in the Burrow,Backalley,Mouth Open (Left),,,Lollipop,Beanie,Bowtie (Red),Holographic Jacket,,Red (Dilated),Cheetah,Male,39.76580926632445,3063
3064,Bob,Desert Digging,Forest,Mouth Open (Left),Gold Studs,Gold Ring,Lollipop,,,Flannel Jacket,,Red,Candy Floss,Male,42.005846239688246,3064
3065,Big Nod,Follow You,Backalley,Mouth Open (Left),Steel Rings & Studs,Gold Ring,Lollipop,Mohawk (Base),,Black FLUF Singlet,,Green,Cow,Male,45.68994891021024,3065
3066,Round,Run Rabbit,Party House,Blank,,Steel Stud,,Pirate Hat,,,Neon Glasses,Glowing White,Darkness,Male,31.228581113952597,3066
